Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Emissary of War	Emissaries of War	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increases Hero's Attack Skill by 1-3 per week"	
Emissary of Peace	Emissaries of Peace	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Defense Skill by 1-3 per week"	
Emissary of Mana	Emissaries of Mana	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Spell Power by 1-3 per week"	
Emissary of Lore	Emissaries of Lore	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"Increase Hero's Knowledge by 1-3 per week"	
Fire Messenger	Fire Messengers	0	0	0	0	0	0	750	775	775	2	0	70	5	14	12	13	18	0	0	8	10	"Protected against fire spells.
No fear."	
Earth Messenger	Earth Messengers	0	0	0	0	0	0	750	775	775	2	0	70	5	13	14	10	14	0	0	8	10	"Protected against earth spells.
No fear."	
Air Messenger	Air Messengers	0	0	0	0	0	0	750	775	775	2	0	70	6	13	12	10	14	0	0	8	10	"Protected against air spells.
No fear."	
Water Messenger	Water Messengers	0	0	0	0	0	0	750	775	775	2	0	80	5	13	12	10	14	0	0	8	10	"Protected against water spells.
No fear."	
Gorynych	Gorynyches	0	0	0	0	0	0	3500	5272	5931	1	0	250	8	20	20	25	45	0	0	2	5	"Attacks all adjacent enemies.
No fear. No Enemy retaliation."	DOUBLE_WIDE | KING_1 | MULTI_HEADED
War Zealot	War Zealots	0	0	0	0	0	0	600	700	1000	2	0	40	8	14	10	10	12	24	0	6	10	"Protected by Magic Mirror.
No fear. No melee penalty."	SHOOTING_ARMY | const_no_melee_penalty
Arctic Sharpshooter	Arctic Sharpshooters	0	0	0	0	0	0	500	500	700	3	0	15	9	13	10	8	10	32	0	8	12	"No walls or range penalty.
No fear. Air shield."	SHOOTING_ARMY | const_no_wall_penalty
Lava Sharpshooter	Lava Sharpshooters	0	0	0	0	0	0	500	500	700	3	0	15	9	12	11	8	10	32	0	8	12	"No walls or range penalty.
No fear. Fire shield."	SHOOTING_ARMY | const_no_wall_penalty
Nightmare	Nightmares	0	0	0	0	0	0	1500	2050	2400	2	0	110	9	18	16	20	24	0	0	5	10	"Extended Death stare. No fear.
Mind spell immunity."	DOUBLE_WIDE
Santa Gremlin	Santa Gremlins	0	0	0	0	0	0	200	500	200	1	0	5	5	5	5	2	3	0	1000	20	50	"Ice Bolt attack. Can gift
Summon guards."	0
Paladin	Paladins	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Hierophant	Hierophants	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Temple Guardian	Temple Guardians	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Succubus	Succubuses	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Soul Eater	Soul Eaters	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Brute	Brutes	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Preacher	Preachers	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Shaman	Shamans	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Astral Spirit	Astral Spirits	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Paladin	Paladins	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Hierophant	Hierophants	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Temple Guardian	Temple Guardians	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Succubus	Succubuses	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Soul Eater	Soul Eaters	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Brute	Brutes	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Preacher	Preachers	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Shaman	Shamans	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Astral Spirit	Astral Spirits	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
Sylvan Centaur	Sylvan Centaurs	0	0	0	0	0	0	250	250	400	7	0	15	8	10	5	4	6	24	0	10	15	Shoots twice.
Merry.	SHOOTING_ARMY | const_two_attacks
Sorceress	Sorceresses	0	0	0	0	0	0	600	800	1150	2	0	35	8	15	13	10	13	24	0	5	12	Ranged spell caster.	SHOOTING_ARMY
Werewolf	Werewolves	0	0	0	0	0	0	300	460	460	4	0	35	7	10	12	6	9	0	0	10	20	"Lycanthropy (x2 if full moon).
Berserk if full moon: days 14-16"	0
Hell Steed	Hell Steeds	0	0	0	0	0	0	1100	1850	2150	2	0	100	8	15	15	18	24	0	0	5	10	Fire Shield. Fire Wall.
Immune to Fire Magic.	DOUBLE_WIDE
Dracolich	Dracoliches	0	15	0	0	0	0	25000	40000	55000	1	1	800	16	45	45	50	80	5	0	1	3	Undead.  -1 to enemy morale. 20% Magic Resist. 20% Block.	DOUBLE_WIDE

